# Verbs with an etymology but no corpus example sentence.
# Generated by the integrate skill (Mode B) from the Phase 4 mined shards.
# Input to the corpus-expansion re-mine: prompts/uses_etymologies.md Phase 5.
#
# reason=no-candidates           the corpus never attests this verb; wants a larger corpus of the
#                                missing register (news / administrative / technical German), not
#                                more of the same literary sources. Re-mine after expansion.
# reason=candidates-none-usable  the corpus has the token but no candidate yielded a sentence. The
#                                third column says why, and the reasons are NOT uniform: some are
#                                nominal-only / homograph-drained / furniture (a corpus-quality
#                                floor), but a real fraction are GENUINE verbal uses rejected only
#                                for exceeding the 55-word ceiling — those are recoverable by
#                                revisiting the ceiling, not by expanding the corpus. Read the note
#                                before deciding the fix; the two-bucket "all nominal" framing in
#                                the Phase 5 brief is coarser than what's actually here.
#
# format: <verb>	<reason>	<subagent note, if any>

abbehalten	no-candidates	no candidates
abbestellen	no-candidates	no candidates
abbezahlen	no-candidates	no candidates
abbinden	no-candidates	sole candidate rejected: a 51-word Luther passage carrying an embedded verse number (…Tannenholz 9 Meine Knechte…) and a broken hyphenation (Zedern-und), so it is not a quotable sentence
abbleiben	no-candidates	no candidates
abbrennen	no-candidates	no candidates
abbuchen	no-candidates	no candidates
abdanken	no-candidates	no candidates
abdreschen	no-candidates	no candidates
abdringen	no-candidates	no candidates
abdrucken	no-candidates	sole candidate rejected: the Grundgesetz line is an editorial insertion (+++ Nichtamtlicher Hinweis: …) that ends on a colon rather than a sentence
abdrängen	no-candidates	no candidates
abdrücken	candidates-none-usable	sole candidate rejected: it is a different verb — the Kafka line has drückte … die Hände plus a separate ließ … ab, which the indexer read as one separated abdrücken
aberkennen	no-candidates	no candidates
abernten	no-candidates	no candidates
aberziehen	no-candidates	no candidates
abfahren	candidates-none-usable	All three candidates are forms of ~abführen~, a different verb that happens to be indexed nearby; none attests ~abfahren~.
abfassen	no-candidates	no candidates
abfliegen	no-candidates	no candidates
abfüllen	no-candidates	no candidates
abgießen	no-candidates	no candidates
abgleiten	no-candidates	no candidates
abgraben	no-candidates	no candidates
abhandenkommen	candidates-none-usable	Sole candidate is a genuine verbal use but runs 58 words, past the 55-word ceiling, so nulled.
abhören	no-candidates	no candidates
abjagen	no-candidates	no candidates
abklären	no-candidates	no candidates
abkochen	no-candidates	no candidates
abkriegen	no-candidates	no candidates
abladen	no-candidates	no candidates
ablagern	no-candidates	no candidates
ableben	no-candidates	no candidates
ableisten	no-candidates	no candidates
abliefern	no-candidates	no candidates
abliegen	no-candidates	no candidates
ablöschen	no-candidates	no candidates
abmachen	no-candidates	no candidates
abmelken	no-candidates	no candidates
abmischen	no-candidates	no candidates
abneigen	candidates-none-usable	Sole candidate rejected: ~abgeneigt~ there is a purely adjectival participle ("zu abgeneigt, um … zu taugen"), and the sentence runs 69 words, past the 55-word ceiling.
abnutzen	no-candidates	no candidates
abordnen	candidates-none-usable	Only candidate 0 is a genuine verbal use, but at 61 words it exceeds the 55-word ceiling; candidate 1 is a truncated 1648 treaty fragment beginning mid-clause.
abpfeifen	no-candidates	no candidates
abprüfen	no-candidates	no candidates
abrechnen	no-candidates	no candidates
abregen	no-candidates	no candidates
abringen	no-candidates	no candidates
abrinnen	no-candidates	no candidates
abrollen	no-candidates	no candidates
abrunden	no-candidates	no candidates
abrutschen	no-candidates	no candidates
abrücken	no-candidates	no candidates
absaufen	candidates-none-usable	The sole candidate is corrupt: the text runs "zu praxistauglicheren Strafverin den Ländern saufen ab", a two-column PDF extraction spliced across the gutter.
absaugen	no-candidates	no candidates
abschauen	no-candidates	no candidates
abscheiden	candidates-none-usable	Quotation carries a stray Luther verse number (24) mid-sentence, an artifact of the source text; the attested sense is „hinscheiden“, to depart this life, not the chemical one. Re-picked 2026-07-20 after the indexer gained a mid-sentence verse-number filter. The originally quoted Luther sentence carried a stray verse number („…wäre; 24 aber es ist…“), was flagged as a hedge when mined, and is now correctly dropped from the pool. The sole remaining candidate is the Nietzsche attestation in exactly the right sense, but at 49 words it exceeds the brief's 45-word ceiling for a last candidate, so this returns null rather than shipping an over-long quotation.
abschinden	no-candidates	no candidates
abschleifen	no-candidates	no candidates
abschmecken	no-candidates	no candidates
abschwellen	no-candidates	no candidates
abschwören	candidates-none-usable	no candidates
absenden	no-candidates	no candidates
abstammen	no-candidates	no candidates
abstehen	candidates-none-usable	No usable candidate: the two Westphalian-Peace hits carry editorial brackets or are truncated 1648 orthography, and the third is a form of ~abblenden~.
abstreichen	no-candidates	no candidates
abstützen	no-candidates	no candidates; ab- read as directional (load carried downward into the prop), so the spliced sense's "dismantling or reduction" clause is not what applies here
abtauchen	no-candidates	no candidates
abtauschen	no-candidates	no candidates
abteilen	no-candidates	no candidates
abtippen	no-candidates	no candidates
abtragen	no-candidates	no candidates
abtrinken	no-candidates	no candidates
abtrocknen	no-candidates	no candidates
abtöten	no-candidates	sole candidate is a false match: "tötete ihn und hieb ihm den Kopf damit ab" is töten plus the particle of abhauen, not abtöten
abwandeln	no-candidates	no candidates
abwechseln	candidates-none-usable	candidates 0 and 1 are the adverb abwechselnd, not a verbal use; candidate 2 (Goethe) is a genuine finite use but runs past 70 words, well over the 45-word ceiling
abwerben	no-candidates	no candidates
abzahlen	no-candidates	no candidates
abzählen	candidates-none-usable	Sole candidate rejected: the Nietzsche line („—welche schon eurer Väter Herzens-Schmerzens-Schläge abzählte—ach!“) is a relative clause without its antecedent and cannot stand alone.
allemachen	candidates-none-usable	Both candidates are false positives: „machten sich auf alle, die …“ and „selig macht alle, die …“ are ~machen~ with the quantifier ~alle~ as part of the following clause, not this verb.
altmachen	candidates-none-usable	Sole candidate is corrupt: a Luther verse number („… gedenken.' 13 Indem er sagt …“) splices two sentences together.
anbehalten	candidates-none-usable	Sole candidate is ~behalten~, with its ~an~ belonging to the frame „von dem Tage an“, not to this verb.
anbellen	no-candidates	no candidates
anbetreffen	candidates-none-usable	Sole candidate (Nietzsche) runs 53 words, past the 45-word ceiling; no shorter candidate exists.
anbraten	no-candidates	no candidates
andienen	no-candidates	no candidates
andrehen	candidates-none-usable	Sole candidate (Kafka) runs 53 words, past the 45-word ceiling.
androhen	no-candidates	Sole candidate is a polemical Bundestag passage that names a living official and recommends threatening critics with beatings — a genuine verbal use, but unsuitable content for a learner app. Flagged for Josh rather than shipped.
andrücken	no-candidates	no candidates
aneinanderhalten	no-candidates	no candidates
aneinanderschlagen	no-candidates	no candidates
anerziehen	no-candidates	no candidates
anfragen	candidates-none-usable	Sole candidate contains the noun ~Anfragen~, not the verb.
anfügen	no-candidates	Sole candidate is corrupt: text from two PDF columns interleaved with an applause marker.
anfüttern	no-candidates	no candidates
angießen	candidates-none-usable	Sole candidate is the fixed idiom ~wie angegossen~, a participle used purely predicatively and in the casting sense rather than the reading's „sprinkle, water“; rejected as adjectival.
angleichen	candidates-none-usable	Candidate 0 („Neu ist des Bundes angeglichen werden.“) is a corrupt fragment; candidate 1 matches on the adverb ~gleich~ inside an ~anmelden~ clause, a different verb. No usable candidate.
anhaften	candidates-none-usable	Sole candidate is a genuine verbal use but runs 62 words, past the 55-word ceiling for a last candidate.
anhauen	no-candidates	no candidates
anheimfallen	no-candidates	no candidates
anheimgeben	no-candidates	no candidates
anheimstellen	no-candidates	no candidates
ankaufen	no-candidates	no candidates; sense hedged for the same accumulative ~an-~ as ~anfüllen~, which the sense list does not cover.
anklingen	no-candidates	no candidates
anlagern	no-candidates	no candidates
anlauten	no-candidates	no candidates
anlehnen	candidates-none-usable	Sole candidate is a 59-word Kafka period, above the 55-word ceiling for a last candidate, so nulled.
anlernen	no-candidates	no candidates
anlesen	no-candidates	no candidates
anmalen	candidates-none-usable	All five candidates are the adverb ~mal~ inside separable ~ansehen~/~angucken~ constructions, not ~anmalen~; no genuine use in the pool.
anmischen	no-candidates	No candidates. Sense selection: none of the six ~an-~ senses covers the preparative, bring-into-being ~an-~ of ~anmischen~/~anrühren~/~ansetzen~; took the contact sense as nearest, but a "produce by combining" sense looks genuinely missing.
anpreisen	no-candidates	no candidates
anprüfen	no-candidates	no candidates
anrauchen	no-candidates	no candidates
anreihen	candidates-none-usable	Sole candidate is a fragmentary 1648 treaty heading ending mid-citation, not a sentence; nulled.
anreisen	no-candidates	no candidates
anreißen	no-candidates	no candidates
anräumen	no-candidates	No candidates. Sense fit is loose: ~anräumen~ resembles none of the exemplar sets closely; took contact/attachment as nearest.
anrücken	no-candidates	no candidates
ansaufen	no-candidates	no candidates; sense 7 (accumulation) taken as the nearest fit, but the reflexive state-acquisition of ~sich einen ansaufen~ matches none of the exemplars closely
anschaffen	no-candidates	no candidates
anschalten	no-candidates	no candidates
anscheinen	candidates-none-usable	all five candidates are the lexicalized adverb ~anscheinend~, not a verbal use of ~anscheinen~; no sentence
anscheißen	no-candidates	no candidates
anschießen	no-candidates	no candidates
anschleichen	no-candidates	no candidates
anschmeißen	no-candidates	no candidates
anschwellen	no-candidates	no candidates; sense 7 (accumulation) is the nearest fit but not a good one — a gradual increase in degree is not "a holding built up until it is full", and ~anschwellen~, ~ansteigen~, and ~anwachsen~ may want an intensification sense of their own
ansenken	no-candidates	no candidates
ansinnen	no-candidates	no candidates; the shard's translation "designate" does not match the attested sense, which is "to demand or expect of someone" (dative addressee), the sense the noun ~Ansinnen~ preserves
ansteuern	no-candidates	no candidates
anstimmen	no-candidates	no candidates
ansuchen	candidates-none-usable	Sole candidate rejected: in Kafka's „fing sofort wieder zu suchen an“ the ~an~ belongs to ~anfangen~, and ~suchen~ stands alone.
antanzen	no-candidates	no candidates
